Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|h2_smr|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|igcc_ccs|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|igcc|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|lignite_extr|M1,,82.41799038766871,85.17962744131735,104.46069210526046,101.82169092584364,143.63333213392158,171.67711276091975,200.52021797473085,314.9323946980584,487.44351548862267
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|liq_bio_ccs|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|liq_bio|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|loil_imp|M1,,48.370712721067505,49.71517780154183,97.46346102671521,106.94880218166867,76.8493466304358,65.7574989728953,0.864321558402257,83.14083955064602,129.4578664585243
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|meth_coal_ccs|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|meth_coal|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|meth_exp|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|meth_imp|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|meth_ng_ccs|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|meth_ng|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|oil_extr_1_ch4|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|oil_extr_1|M1,,8.911076370388315,6.006065429025836,4.048088069092303,2.7284113383002855,1.8389492283538094,1.2394517707032344,0.8353904872483051,0.5630531842227328,0.37949784334703157
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|oil_extr_2_ch4|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|oil_extr_2|M1,,38.57637058535359,49.04490068146221,59.77106970796439,71.25548371630276,73.7682252647094,49.719783459072126,33.511133802478085,22.586504015087012,15.223303593082754
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|oil_extr_3_ch4|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|oil_extr_3|M1,,0.0,0.0,0.0,0.0,9.768638051659346,9.768638051659346,3.4878653372026247,5.447017880517814,3.671290024196931
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|oil_extr_4_ch4|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|oil_extr_4|M1,,0.0,0.0,0.0,0.0,0.3917989078106989,38.700295090122864,77.4301082213529,67.20933399151664,58.337701952708315
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|oil_extr_5|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|oil_extr_6|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.982837495374785
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|oil_extr_7|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|oil_imp|M1,,50.38070712111573,59.66877699959987,50.293605026802645,81.73740373937362,122.47799279418987,103.9731075507358,30.434830990896717,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|syn_liq_ccs|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pakistan Model,baseline_xlsx,Pakistan,Emissions|CO2|syn_liq|M1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
