node,tec,vintage,year_all,mode,time,level
R12_PAK,bio_istig_ccs,2030,2030,M1,year,0
R12_PAK,bio_istig_ccs,2030,2035,M1,year,0
R12_PAK,bio_istig_ccs,2030,2040,M1,year,0
R12_PAK,bio_istig_ccs,2030,2045,M1,year,0
R12_PAK,bio_istig_ccs,2030,2050,M1,year,0
R12_PAK,bio_istig_ccs,2035,2035,M1,year,0
R12_PAK,bio_istig_ccs,2035,2040,M1,year,0
R12_PAK,bio_istig_ccs,2035,2045,M1,year,0
R12_PAK,bio_istig_ccs,2035,2050,M1,year,0
R12_PAK,bio_istig_ccs,2035,2055,M1,year,0
R12_PAK,bio_istig_ccs,2040,2040,M1,year,0
R12_PAK,bio_istig_ccs,2040,2045,M1,year,0
R12_PAK,bio_istig_ccs,2040,2050,M1,year,0
R12_PAK,bio_istig_ccs,2040,2055,M1,year,0
R12_PAK,bio_istig_ccs,2040,2060,M1,year,0
R12_PAK,bio_istig_ccs,2045,2045,M1,year,0
R12_PAK,bio_istig_ccs,2045,2050,M1,year,0
R12_PAK,bio_istig_ccs,2045,2055,M1,year,0
R12_PAK,bio_istig_ccs,2045,2060,M1,year,0
R12_PAK,bio_istig_ccs,2045,2070,M1,year,0
R12_PAK,bio_istig_ccs,2050,2050,M1,year,0
R12_PAK,bio_istig_ccs,2050,2055,M1,year,0
R12_PAK,bio_istig_ccs,2050,2060,M1,year,0
R12_PAK,bio_istig_ccs,2050,2070,M1,year,0
R12_PAK,bio_istig_ccs,2055,2055,M1,year,0
R12_PAK,bio_istig_ccs,2055,2060,M1,year,0
R12_PAK,bio_istig_ccs,2055,2070,M1,year,0
R12_PAK,bio_istig_ccs,2060,2060,M1,year,0
R12_PAK,bio_istig_ccs,2060,2070,M1,year,0
R12_PAK,bio_istig_ccs,2070,2070,M1,year,0
R12_PAK,bio_istig,2010,2010,M1,year,0
R12_PAK,bio_istig,2010,2015,M1,year,0
R12_PAK,bio_istig,2010,2020,M1,year,0
R12_PAK,bio_istig,2010,2025,M1,year,0
R12_PAK,bio_istig,2010,2030,M1,year,0
R12_PAK,bio_istig,2015,2015,M1,year,0
R12_PAK,bio_istig,2015,2020,M1,year,0
R12_PAK,bio_istig,2015,2025,M1,year,0
R12_PAK,bio_istig,2015,2030,M1,year,0
R12_PAK,bio_istig,2015,2035,M1,year,0
R12_PAK,bio_istig,2020,2020,M1,year,0
R12_PAK,bio_istig,2020,2025,M1,year,0
R12_PAK,bio_istig,2020,2030,M1,year,0
R12_PAK,bio_istig,2020,2035,M1,year,0
R12_PAK,bio_istig,2020,2040,M1,year,0
R12_PAK,bio_istig,2025,2025,M1,year,0
R12_PAK,bio_istig,2025,2030,M1,year,0
R12_PAK,bio_istig,2025,2035,M1,year,0
R12_PAK,bio_istig,2025,2040,M1,year,0
R12_PAK,bio_istig,2025,2045,M1,year,0
R12_PAK,bio_istig,2030,2030,M1,year,0
R12_PAK,bio_istig,2030,2035,M1,year,0
R12_PAK,bio_istig,2030,2040,M1,year,0
R12_PAK,bio_istig,2030,2045,M1,year,0
R12_PAK,bio_istig,2030,2050,M1,year,0
R12_PAK,bio_istig,2035,2035,M1,year,0
R12_PAK,bio_istig,2035,2040,M1,year,0
R12_PAK,bio_istig,2035,2045,M1,year,0
R12_PAK,bio_istig,2035,2050,M1,year,0
R12_PAK,bio_istig,2035,2055,M1,year,0
R12_PAK,bio_istig,2040,2040,M1,year,0
R12_PAK,bio_istig,2040,2045,M1,year,0
R12_PAK,bio_istig,2040,2050,M1,year,0
R12_PAK,bio_istig,2040,2055,M1,year,0
R12_PAK,bio_istig,2040,2060,M1,year,0
R12_PAK,bio_istig,2045,2045,M1,year,0
R12_PAK,bio_istig,2045,2050,M1,year,0
R12_PAK,bio_istig,2045,2055,M1,year,0
R12_PAK,bio_istig,2045,2060,M1,year,0
R12_PAK,bio_istig,2045,2070,M1,year,0
R12_PAK,bio_istig,2050,2050,M1,year,0
R12_PAK,bio_istig,2050,2055,M1,year,0
R12_PAK,bio_istig,2050,2060,M1,year,0
R12_PAK,bio_istig,2050,2070,M1,year,0
R12_PAK,bio_istig,2055,2055,M1,year,0
R12_PAK,bio_istig,2055,2060,M1,year,0
R12_PAK,bio_istig,2055,2070,M1,year,0
R12_PAK,bio_istig,2060,2060,M1,year,0
R12_PAK,bio_istig,2060,2070,M1,year,0
R12_PAK,bio_istig,2070,2070,M1,year,0
R12_PAK,bio_ppl,1965,1965,M1,year,0
R12_PAK,bio_ppl,1965,1970,M1,year,0
R12_PAK,bio_ppl,1965,1975,M1,year,0
R12_PAK,bio_ppl,1965,1980,M1,year,0
R12_PAK,bio_ppl,1965,1985,M1,year,0
R12_PAK,bio_ppl,1965,1990,M1,year,0
R12_PAK,bio_ppl,1965,1995,M1,year,0
R12_PAK,bio_ppl,1965,2000,M1,year,0
R12_PAK,bio_ppl,1965,2005,M1,year,0
R12_PAK,bio_ppl,1965,2010,M1,year,0
R12_PAK,bio_ppl,1965,2015,M1,year,0
R12_PAK,bio_ppl,1965,2020,M1,year,0
R12_PAK,bio_ppl,1965,2025,M1,year,0.0006625
R12_PAK,bio_ppl,1970,1970,M1,year,0
R12_PAK,bio_ppl,1970,1975,M1,year,0
R12_PAK,bio_ppl,1970,1980,M1,year,0
R12_PAK,bio_ppl,1970,1985,M1,year,0
R12_PAK,bio_ppl,1970,1990,M1,year,0
R12_PAK,bio_ppl,1970,1995,M1,year,0
