node,commodity,level,year,time,value,unit
R11_SAS,i_feed,useful,1995,year,30.9211,GWa
R11_SAS,i_feed,useful,2000,year,42.673,GWa
R11_SAS,i_feed,useful,2005,year,46.2773,GWa
R11_SAS,i_feed,useful,2010,year,52.4403,GWa
R11_SAS,i_feed,useful,2015,year,68.05,???
R11_SAS,i_spec,useful,1990,year,11.839,GWa
R11_SAS,i_spec,useful,1995,year,15.5391,GWa
R11_SAS,i_spec,useful,2000,year,17.8804,GWa
R11_SAS,i_spec,useful,2005,year,23.541,GWa
R11_SAS,i_spec,useful,2010,year,30.1750344,GWa
R11_SAS,i_spec,useful,2015,year,42.49,???
R11_SAS,i_therm,useful,1990,year,44.4382,GWa
R11_SAS,i_therm,useful,1995,year,44.7721,GWa
R11_SAS,i_therm,useful,2000,year,52.7134,GWa
R11_SAS,i_therm,useful,2005,year,68.1352,GWa
R11_SAS,i_therm,useful,2010,year,109.979751,GWa
R11_SAS,i_therm,useful,2015,year,131.53,???
R11_SAS,non-comm,useful,1990,year,25.08890343,GWa
R11_SAS,non-comm,useful,1995,year,28.8878994,GWa
R11_SAS,non-comm,useful,2000,year,31.9416008,GWa
R11_SAS,non-comm,useful,2005,year,36.59999847,GWa
R11_SAS,non-comm,useful,2010,year,35.91569901,GWa
R11_SAS,non-comm,useful,2015,year,37.8351995,???
R11_SAS,rc_spec,useful,1990,year,3.5158,GWa
R11_SAS,rc_spec,useful,1995,year,5.3366,GWa
R11_SAS,rc_spec,useful,2000,year,6.1787,GWa
R11_SAS,rc_spec,useful,2005,year,8.5482,GWa
R11_SAS,rc_spec,useful,2010,year,12.9418,GWa
R11_SAS,rc_spec,useful,2015,year,19.1,???
R11_SAS,rc_therm,useful,1990,year,20.1902,GWa
R11_SAS,rc_therm,useful,1995,year,27.9251109,GWa
R11_SAS,rc_therm,useful,2000,year,33.383,GWa
R11_SAS,rc_therm,useful,2005,year,43.3418,GWa
R11_SAS,rc_therm,useful,2010,year,57.0896,GWa
R11_SAS,rc_therm,useful,2015,year,69.78,???
R11_SAS,transport,useful,1990,year,35.6724,GWa
R11_SAS,transport,useful,1995,year,49.1732,GWa
R11_SAS,transport,useful,2000,year,60.8396,GWa
R11_SAS,transport,useful,2005,year,72.9359,GWa
R11_SAS,transport,useful,2010,year,114.7901,GWa
R11_SAS,transport,useful,2015,year,150.06,???
