short_names,technology,include,technology shares,share basis,input commodity,input level,input basis,input,output commodity,output level,output,IEA flow,IEA product,unit,output or input
coal_rc,coal_rc,y,,model,coal,final,model,1.851851852,rc_therm,useful,1,"RESIDENT, COMMPUB, AGRICULT, FISHING, ONONSPEC","HARDCOAL, BROWN, ANTCOAL, COKCOAL, BITCOAL, SUBCOAL, LIGNITE, PEAT, PATFUEL, OVENCOKE, GASCOKE, COALTAR, BKB, GASWKSGS, COKEOVGS, BLFURGS, MANGAS, INDWASTE, MUNWASTEN",TJ,input
foil_rc,foil_rc,y,,model,fueloil,final,model,1.5625,rc_therm,useful,1,"RESIDENT, COMMPUB, AGRICULT, FISHING, ONONSPEC","BITUMEN, PARWAX, PETCOKE, RESFUEL",TJ,input
gas_rc,gas_rc,y,,model,gas,final,model,1.315789474,rc_therm,useful,1,"RESIDENT, COMMPUB, AGRICULT, FISHING, ONONSPEC",NATGAS,TJ,input
loil_rc,loil_rc,y,,model,lightoil,final,model,1.449275362,rc_therm,useful,1,"RESIDENT, COMMPUB, AGRICULT, FISHING, ONONSPEC","OTHKERO, ONONSPEC, REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, NAPHTHA, WHITESP, LUBRIC",TJ,input
"sp_el_RC,elec_rc","sp_el_RC,elec_rc",y,,pfu,electr,final,model,1.754385965,rc_spec,useful,1,"RESIDENT, COMMPUB, AGRICULT, FISHING, ONONSPEC",ELECTR,TJ,input
meth_coal,meth_coal,y,,model,coal,primary,model,1.923076923,lightoil,secondary,0,"TCOALLIQ, ECOALLIQ","REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, RESFUEL, NAPHTHA, WHITESP, LUBRIC, BITUMEN, PARWAX, PETCOKE, ONONSPEC, OTHKERO",TJ,output
syn_liq,syn_liq,y,,model,coal,primary,model,2.272727273,lightoil,secondary,1,"TCOALLIQ, ECOALLIQ","REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, RESFUEL, NAPHTHA, WHITESP, LUBRIC, BITUMEN, PARWAX, PETCOKE, ONONSPEC, OTHKERO",TJ,output
solar_rc,solar_rc,y,,model,,,model,,rc_therm,useful,1,TFC,SOLARTH,TJ,output
coal_gas,coal_gas,y,,model,coal,secondary,model,1.315789474,gas,secondary,1,TGASWKS,OGASES,TJ,output
hp_el_i,hp_el_i,y,,model,electr,final,model,0.333333333,i_therm,useful,1,THEAT,ELECTR,TJ,input
hp_gas_i,hp_gas_i,y,,model,gas,final,model,0.5,i_therm,useful,1,THEAT,NATGAS,TJ,input
biomass_i,biomass_i,y,,model,biomass,final,model,1.538461538,i_therm,useful,1,TOTIND,"PRIMSBIO, CHARCOAL, RENEWNS, MUNWASTER",TJ,input
coal_i,coal_i,y,,model,coal,final,model,1.470588235,i_therm,useful,1,TOTIND,"HARDCOAL, BROWN, ANTCOAL, COKCOAL, BITCOAL, SUBCOAL, LIGNITE, PEAT, PATFUEL, OVENCOKE, GASCOKE, COALTAR, BKB, GASWKSGS, COKEOVGS, BLFURGS, MANGAS, INDWASTE, MUNWASTEN",TJ,input
eth_i,eth_i,y,,model,ethanol,final,model,1.234567901,i_therm,useful,1,TOTIND,"BIOGASOL, BIODIESEL, OBIOLIQ, BIOJETKERO",TJ,input
foil_i,foil_i,y,,model,fueloil,final,model,1.369863014,i_therm,useful,1,TOTIND,"BITUMEN, PARWAX, PETCOKE, RESFUEL",TJ,input
gas_i,gas_i,y,,model,gas,final,model,1.25,i_therm,useful,1,TOTIND,NATGAS,TJ,input
heat_i,heat_i,y,,model,d_heat,final,model,1,i_therm,useful,1,TOTIND,"HEATNS, HEAT",TJ,output
loil_i,loil_i,y,,model,lightoil,final,model,1.369863014,i_therm,useful,1,TOTIND,"REFINGAS, ETHANE, LPG, AVGAS, JETGAS, NONBIOJETK, NAPHTHA, WHITESP, LUBRIC, ONONSPEC, OTHKERO",TJ,input
sp_liq_I,sp_liq_I,y,,model,lightoil,final,model,,i_spec,useful,1,TOTIND,"NONBIOGASO, NONBIODIES",TJ,input
coal_trp,coal_trp,y,,model,coal,final,model,3.333333333,transport,useful,1,"DOMESAIR, ROAD, RAIL, DOMESNAV, TRNONSPE, AVBUNK","HARDCOAL, BROWN, ANTCOAL, COKCOAL, BITCOAL, SUBCOAL, LIGNITE, PEAT, PATFUEL, OVENCOKE, GASCOKE, COALTAR, BKB, GASWKSGS, COKEOVGS, BLFURGS, MANGAS, INDWASTE, MUNWASTEN",TJ,input
elec_trp,elec_trp,y,,model,electr,final,model,0.333333333,transport,useful,1,"DOMESAIR, ROAD, RAIL, DOMESNAV, TRNONSPE, AVBUNK",ELECTR,TJ,input
eth_ic_trp,eth_ic_trp,y,,model,ethanol,final,model,1,transport,useful,1,"DOMESAIR, ROAD, RAIL, DOMESNAV, TRNONSPE, AVBUNK","BIOGASOL, BIODIESEL, OBIOLIQ, BIOJETKERO",TJ,input
foil_trp,foil_trp,y,,model,fueloil,final,model,1,transport,useful,1,"DOMESAIR, ROAD, RAIL, DOMESNAV, TRNONSPE, AVBUNK","BITUMEN, PARWAX, PETCOKE, RESFUEL",TJ,input
gas_trp,gas_trp,y,,model,gas,final,model,1,transport,useful,1,"DOMESAIR, ROAD, RAIL, DOMESNAV, TRNONSPE, AVBUNK",NATGAS,TJ,input
loil_trp,loil_trp,y,,model,lightoil,final,model,1,transport,useful,1,"DOMESAIR, ROAD, RAIL, DOMESNAV, TRNONSPE, AVBUNK","OTHKERO, ONONSPEC, REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, NAPHTHA, WHITESP, LUBRIC",TJ,input
"ref_lol,ref_hil","ref_lol,ref_hil",y,,model,crudeoil,secondary,model,1.092082143,lightoil,secondary,0.675365448,TREFINER,"REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, RESFUEL, NAPHTHA, WHITESP, LUBRIC, BITUMEN, PARWAX, PETCOKE, ONONSPEC, OTHKERO",TJ,output
