Time,Region,PC,PCC,ECPC,AP,Temperature
2021,FRA,331.6158,281.22427,281.22427,375.65292,1.5 deg at 50% with small overshoot
2021,FSM,3.3184967,0.07883271,0.07883271,,1.5 deg at 50% with small overshoot
2021,G20,25154.686,32000.61,32000.61,,1.5 deg at 50% with small overshoot
2021,G7,5197.288,9739.355,9739.355,,1.5 deg at 50% with small overshoot
2021,GAB,11.895221,10.541359,10.541359,13.0133705,1.5 deg at 50% with small overshoot
2021,GBR,344.66342,359.43823,359.43823,478.71094,1.5 deg at 50% with small overshoot
2021,GEO,19.201036,4.612932,4.612932,5.7111716,1.5 deg at 50% with small overshoot
2021,GHA,167.0558,22.514372,22.514372,26.353537,1.5 deg at 50% with small overshoot
2021,GIN,68.58198,17.400185,17.400185,19.787556,1.5 deg at 50% with small overshoot
2021,GMB,13.357204,1.9014966,1.9014966,2.1429803,1.5 deg at 50% with small overshoot
2021,GNB,10.461819,1.3762536,1.3762536,1.552042,1.5 deg at 50% with small overshoot
2021,GNQ,8.322072,8.095207,8.095207,9.986693,1.5 deg at 50% with small overshoot
2021,GRC,53.949177,46.194508,46.194508,59.55414,1.5 deg at 50% with small overshoot
2021,GRD,0.6355128,0.29442334,0.29442334,,1.5 deg at 50% with small overshoot
2021,GTM,89.865295,30.374966,30.374966,36.30157,1.5 deg at 50% with small overshoot
2021,GUY,4.082232,10.479565,10.479565,13.595979,1.5 deg at 50% with small overshoot
2021,HND,52.364307,22.076645,22.076645,25.749807,1.5 deg at 50% with small overshoot
2021,HRV,20.987997,14.398257,14.398257,18.643002,1.5 deg at 50% with small overshoot
2021,HTI,58.485584,3.4357235,3.4357235,3.9049554,1.5 deg at 50% with small overshoot
2021,HUN,49.98018,42.258247,42.258247,55.16397,1.5 deg at 50% with small overshoot
2021,IDN,1400.6364,1495.4402,1495.4402,1828.5201,1.5 deg at 50% with small overshoot
2021,IND,7193.5254,2679.538,2679.538,3167.739,1.5 deg at 50% with small overshoot
2021,IRL,25.491692,48.415844,48.415844,69.642044,1.5 deg at 50% with small overshoot
2021,IRN,450.43668,685.6005,685.6005,847.425,1.5 deg at 50% with small overshoot
2021,IRQ,220.9779,172.78635,172.78635,207.81007,1.5 deg at 50% with small overshoot
2021,ISL,1.883128,3.8640666,3.8640666,5.238317,1.5 deg at 50% with small overshoot
2021,ISR,45.299057,56.439934,56.439934,75.08696,1.5 deg at 50% with small overshoot
2021,ITA,305.48016,318.13297,318.13297,419.93143,1.5 deg at 50% with small overshoot
2021,JAM,14.471574,6.124619,6.124619,7.3666754,1.5 deg at 50% with small overshoot
2021,JOR,56.642517,22.561577,22.561577,27.121092,1.5 deg at 50% with small overshoot
2021,JPN,641.4233,1052.5026,1052.5026,1402.9658,1.5 deg at 50% with small overshoot
2021,KAZ,97.79277,268.16183,268.16183,345.4155,1.5 deg at 50% with small overshoot
